ev,Budaörs,Dunaharaszti,Dunakeszi,Gyál,Göd,Gödöllő,Szentendre,Szigetszentmiklós,Vác,Érd
2015,315,201,256,179,222,204,252,182,182,207
2016,371,233,302,200,254,242,304,222,208,230
2017,432,269,356,243,315,280,344,258,246,273
2018,513,341,427,284,351,333,423,318,296,315
2019,624,399,532,346,430,401,498,390,384,389
2020,675,433,572,374,470,451,544,436,426,438
2021,721,540,648,463,572,514,629,485,464,510
2022,902,654,821,593,722,611,768,622,599,677
2023,955,767,864,677,726,692,838,635,637,745
2024,993,829,909,655,807,727,873,712,698,799
